z,y_true,y_approx,mp_error,double_error
0.0001530703125,1.3565503325708886278524475836971752e-4,0.00013565503325708886,6.1194606871160066541336113161470767e-21,0
0.0001540703125,1.3654126019895699685884465348285885e-4,0.000136541260198957,-7.892307757421210410821646382221176e-21,0
0.0001550703125,1.3742748714103960945041847888873325e-4,0.0001374274871410396,1.4241800955572589247714146194898557e-21,0
0.0001560703125,1.383137140833381166633777054314887e-4,0.00013831371408333813,-1.3500597138535423272300562024685655e-20,0
0.00015707031249999998,1.3919994102585383851621855030358685e-4,0.00013919994102585385,-6.5856959129745053214060101604837973e-21,0
0.0001580703125,1.4008616796858826317604547920679961e-4,0.00014008616796858827,-7.5470532417644229106205150950781661e-21,-2.710505431213761E-20
0.0001590703125,1.4097239491154271066135948477325259e-4,0.00014097239491154274,-2.4513829427015982088454963699925895e-20,-2.710505431213761E-20
0.0001600703125,1.4185862185471859707558163008090311e-4,0.0001418586218547186,3.3646809874682319468928136057888125e-21,0
0.0001610703125,1.427448487981173145009060003300298e-4,0.0001427448487981173,4.4977392314575119226842066142708802e-21,0
0.0001620703125,1.436310757417402550195291308760306e-4,0.00014363107574174024,1.5714826233426713262672882571469379e-20,2.710505431213761E-20
0.0001630703125,1.4451730268558881071365002253616939e-4,0.00014451730268558882,-7.4697375491002752039146048697163278e-21,0
0.0001640703125,1.4540352962966437366547015689632275e-4,0.00014540352962966437,-1.1214119292805085605197876049854045e-21,0
0.00016507031250000002,1.462897565739683599784229729644111e-4,0.00014628975657396837,-1.280969632353705229803497029723518e-20,0
0.00016607031249999999,1.4717598351850208967102657574372379e-4,0.0001471759835185021,-2.3558679609471937868575459423109685e-20,-2.710505431213761E-20
0.0001670703125,1.4806221046326705091040783888567687e-4,0.00014806221046326706,-8.8741677688647351504305537154372115e-21,0
0.0001680703125,1.4894843740826456371508991733588768e-4,0.0001489484374082646,-3.1095407565787980147905909444732081e-20,-2.710505431213761E-20
0.0001690703125,1.4983466435349604418851639371855924e-4,0.00014983466435349605,-2.2666167123604014991014186037526186e-21,0
0.0001700703125,1.5072089129896288441290395567292958e-4,0.00015072089129896288,6.0214886236262529124771290248298263e-21,0
0.0001710703125,1.5160711824466647647047187875407853e-4,0.00015160711824466647,3.4933577987089095583363104913855644e-21,0
0.0001720703125,1.5249334519060821244344204173967504e-4,0.0001524933451906082,-1.2655722735291597721029418980382358e-22,0
0.0001730703125,1.5337957213678948441403894193672455e-4,0.00015337957213678948,4.8861981237296283855059654734618418e-21,0
0.0001740703125,1.5426579908321168446448971048831644e-4,0.00015426579908321166,2.8256081064081478678678240847372665e-20,2.710505431213761E-20
0.0001750703125,1.5515202602987620467702412768037159e-4,0.0001551520260298762,-1.6076114814424301313013068249275571e-21,0
0.0001760703125,1.5603825297678446115510417039148716e-4,0.00015603825297678446,3.2509211692935674434206625303977811e-21,0
0.0001770703125,1.5692447992393779793850590548972784e-4,0.0001569244799239378,4.5136851641393827479661066232438699e-21,0
0.0001780703125,1.5781070687133763113069667804839224e-4,0.00015781070687133765,-1.828373069512506066915906557385684e-20,0
0.0001790703125,1.5869693381898535281391701799220402e-4,0.00015869693381898535,-1.206747173317970812728294480932735e-21,0
0.0001800703125,1.5958316076688235507041018092245711e-4,0.00015958316076688237,-1.5846053870269039651349036280642868e-20,0
0.0001810703125,1.6046938771503002998242216342376375e-4,0.00016046938771503003,1.7329339158634133761600750568487984e-21,0
0.0001820703125,1.6135561466342976963220171837080249e-4,0.00016135561466342976,7.0445863946606917789630970718444935e-21,0
0.0001830703125,1.6224184161208296610200037023506641e-4,0.00016224184161208296,9.8133851715761352637499534302673541e-21,0
0.0001840703125,1.631280685609910114740724303916113e-4,0.000163128068560991,1.9763814638966646261773314779210111e-20,0
0.0001850703125,1.6401429551015532185190460588916072e-4,0.0001640142955101553,1.6431482960587573289457678910469712e-20,2.710505431213761E-20
0.00018607031249999998,1.6490052245957721725406804744007067e-4,0.0001649005224595772,1.8792354304545951515663317478387417e-20,2.710505431213761E-20
0.0001870703125,1.6578674940925818584774390686578374e-4,0.0001657867494092582,-2.8694316570429840615297366016954462e-21,0
